File,ID,Member_Name,Member_Type,Entity,Member_ID,Modules,Module_List,Module,Duplicated
lib/sh/tmpfile.c,276,get_sys_tmpdir,functionimpl,lib/sh/tmpfile.c,2514,['libsh'],['libsh'],libsh,FALSE
general.c,82,file_iswdir,var,general.c,660,['general'],['general'],general,FALSE
bashjmp.h,16,bashjmp,file,bashjmp.h,43,['general'],['general'],general,FALSE
lib/readline/posixjmp.h,190,posixjmp,file,lib/readline/posixjmp.h,1788,['libreadline'],['libreadline'],libreadline,FALSE
lib/sh/tmpfile.c,276,tmpfile,file,lib/sh/tmpfile.c,2513,['libsh'],['libsh'],libsh,FALSE
include/filecntl.h,89,filecntl,file,include/filecntl.h,730,['general'],['general'],general,FALSE
command.h,33,word_list,type,command.h,212,['general'],['general'],general,FALSE
alias.h,5,find_alias,functionproto,alias.h,5,['general'],['general'],general,FALSE
alias.h,5,alias_t,alias,alias.h,2,['general'],['general'],general,FALSE
alias.h,5,all_aliases,functionproto,alias.h,4,['general'],['general'],general,FALSE
array.h,7,array,file,array.h,10,['general'],['general'],general,FALSE
include/stdc.h,99,stdc,file,include/stdc.h,752,['general'],['general'],general,FALSE
general.h,83,file_iswdir,functionproto,general.h,685,['general'],['general'],general,FALSE
lib/sh/getenv.c,232,getenv,file,lib/sh/getenv.c,2290,['libsh'],['libsh'],libsh,FALSE
shell.h,316,shell,file,shell.h,2921,['general'],['general'],general,FALSE
jobs.c,104,current_working_directory,functionimpl,jobs.c,775,['job_control'],['job_control'],job_control,FALSE
builtins/common.c,25,the_current_working_directory,var,builtins/common.c,96,['libbuiltins'],['libbuiltins'],libbuiltins,FALSE
jobs.c,104,job_working_directory,functionimpl,jobs.c,784,['job_control'],['job_control'],job_control,FALSE
builtins/common.c,25,get_working_directory,functionproto,builtins/common.c,70,['libbuiltins'],['libbuiltins'],libbuiltins,FALSE
builtins/common.h,26,get_working_directory,functionproto,builtins/common.h,102,['libbuiltins'],['libbuiltins'],libbuiltins,FALSE
builtins/common.h,26,the_current_working_directory,var,builtins/common.h,117,['libbuiltins'],['libbuiltins'],libbuiltins,FALSE
jobs.c,104,jobs,file,jobs.c,769,['job_control'],['job_control'],job_control,FALSE
builtins/common.h,26,common,file,builtins/common.h,99,['libbuiltins'],['libbuiltins'],libbuiltins,FALSE
builtins/common.c,25,common,file,builtins/common.c,61,['libbuiltins'],['libbuiltins'],libbuiltins,FALSE
include/maxpath.h,91,maxpath,file,include/maxpath.h,732,['general'],['general'],general,FALSE
general.c,82,initialize_group_array,functionimpl,general.c,640,['general'],['general'],general,FALSE
shell.c,315,current_user,var,shell.c,2878,['general'],['general'],general,FALSE
general.c,82,group_member,functionimpl,general.c,639,['general'],['general'],general,FALSE
shell.h,316,current_user,var,shell.h,2927,['general'],['general'],general,FALSE
general.c,82,general,file,general.c,637,['general'],['general'],general,FALSE
shell.h,316,user_info,type,shell.h,2925,['general'],['general'],general,FALSE
execute_cmd.c,74,execute_cmd,file,execute_cmd.c,409,['general'],['general'],general,FALSE
jobs.h,105,jobs,file,jobs.h,911,['job_control'],['job_control'],job_control,FALSE
command.h,33,command,type,command.h,194,['general'],['general'],general,FALSE
jobs.c,104,set_tty_state,functionimpl,jobs.c,797,['job_control'],['job_control'],job_control,FALSE
error.c,38,sys_error,functionproto,error.c,251,['error_handling'],['error_handling'],error_handling,FALSE
jobs.c,104,notify_of_job_status,functionimpl,jobs.c,789,['job_control'],['job_control'],job_control,FALSE
error.c,38,get_name_for_error,functionimpl,error.c,243,['error_handling'],['error_handling'],error_handling,FALSE
error.c,38,programming_error,functionproto,error.c,250,['error_handling'],['error_handling'],error_handling,FALSE
lib/intl/relocatable.c,144,relocatable,file,lib/intl/relocatable.c,1188,['libintl'],['libintl'],libintl,FALSE
lib/intl/relocatable.h,145,relocatable,file,lib/intl/relocatable.h,1189,['libintl'],['libintl'],libintl,FALSE
error.h,39,sys_error,functionproto,error.h,263,['error_handling'],['error_handling'],error_handling,FALSE
error.h,39,get_name_for_error,functionproto,error.h,258,['error_handling'],['error_handling'],error_handling,FALSE
error.h,39,programming_error,functionproto,error.h,262,['error_handling'],['error_handling'],error_handling,FALSE
flags.h,81,flags,file,flags.h,624,['general'],['general'],general,FALSE
eval.c,40,read_command,functionimpl,eval.c,266,['general'],['general'],general,FALSE
variables.h,340,variable,type,variables.h,3694,['general'],['general'],general,FALSE
eval.c,40,reader_loop,functionimpl,eval.c,267,['general'],['general'],general,FALSE
variables.h,340,dispose_used_env_vars,functionproto,variables.h,3658,['general'],['general'],general,FALSE
eval.c,40,send_pwd_to_eterm,functionimpl,eval.c,268,['general'],['general'],general,FALSE
variables.h,340,get_string_value,functionproto,variables.h,3665,['general'],['general'],general,FALSE
eval.c,40,parse_command,functionimpl,eval.c,265,['general'],['general'],general,FALSE
variables.h,340,find_variable,functionproto,variables.h,3662,['general'],['general'],general,FALSE
variables.h,340,variable_context,var,variables.h,3698,['general'],['general'],general,FALSE
variables.h,340,temporary_env,var,variables.h,3697,['general'],['general'],general,FALSE
variables.c,339,sh_get_home_dir,functionimpl,variables.c,3498,['general'],['general'],general,FALSE
externs.h,77,get_current_user_info,functionproto,externs.h,538,['general'],['general'],general,FALSE
variables.c,339,set_shell_var,functionimpl,variables.c,3497,['general'],['general'],general,FALSE
variables.c,339,get_bash_name,functionimpl,variables.c,3474,['general'],['general'],general,FALSE
externs.h,77,sh_canonpath,functionproto,externs.h,558,['general'],['general'],general,FALSE
variables.c,339,set_ppid,functionimpl,variables.c,3495,['general'],['general'],general,FALSE
externs.h,77,inttostr,functionproto,externs.h,546,['general'],['general'],general,FALSE
variables.c,339,uidset,functionimpl,variables.c,3499,['general'],['general'],general,FALSE
variables.c,339,maybe_make_export_env,functionimpl,variables.c,3483,['general'],['general'],general,FALSE
externs.h,77,strvec_flush,functionproto,externs.h,567,['general'],['general'],general,FALSE
externs.h,77,strvec_resize,functionproto,externs.h,568,['general'],['general'],general,FALSE
findcmd.h,79,find_user_command,functionproto,findcmd.h,590,['general'],['general'],general,FALSE
findcmd.h,79,file_status,functionproto,findcmd.h,589,['general'],['general'],general,FALSE
variables.c,339,variables,file,variables.c,3463,['general'],['general'],general,FALSE
findcmd.h,79,findcmd,file,findcmd.h,588,['general'],['general'],general,FALSE
findcmd.c,78,find_user_command,functionproto,findcmd.c,580,['general'],['general'],general,FALSE
findcmd.c,78,file_status,functionproto,findcmd.c,578,['general'],['general'],general,FALSE
lib/readline/complete.c,163,full_pathname,var,lib/readline/complete.c,1381,['libreadline'],['libreadline'],libreadline,FALSE
include/chartypes.h,88,chartypes,file,include/chartypes.h,729,['general'],['general'],general,FALSE
execute_cmd.h,75,execute_cmd,file,execute_cmd.h,450,['general'],['general'],general,FALSE
general.c,82,make_absolute,var,general.c,666,['general'],['general'],general,FALSE
general.c,82,full_pathname,functionproto,general.c,648,['general'],['general'],general,FALSE
variables.c,339,init_seconds_var,functionimpl,variables.c,3477,['general'],['general'],general,FALSE
general.c,82,legal_number,functionproto,general.c,650,['general'],['general'],general,FALSE
lib/glob/strmatch.h,114,strmatch,file,lib/glob/strmatch.h,978,['libglob'],['libglob'],libglob,FALSE
y.tab.c,344,EOF_Reached,var,y.tab.c,3745,['general'],['general'],general,FALSE
y.tab.c,344,bash_input,var,y.tab.c,3751,['general'],['general'],general,FALSE
y.tab.c,344,execute_variable_command,functionproto,y.tab.c,3733,['general'],['general'],general,FALSE
y.tab.c,344,yyparse,functionimpl,y.tab.c,3732,['general'],['general'],general,FALSE
y.tab.c,344,gather_here_documents,functionimpl,y.tab.c,3713,['general'],['general'],general,FALSE
y.tab.c,344,set_current_prompt_level,functionproto,y.tab.c,3738,['general'],['general'],general,FALSE
sig.c,317,initialize_terminating_signals,functionimpl,sig.c,2936,['signal_handling'],['signal_handling'],signal_handling,FALSE
nojobs.c,303,interactive_shell,var,nojobs.c,2773,['job_control'],['job_control'],job_control,FALSE
sig.c,317,initialize_shell_signals,functionimpl,sig.c,2935,['signal_handling'],['signal_handling'],signal_handling,FALSE
nojobs.c,303,interactive,var,nojobs.c,2772,['job_control'],['job_control'],job_control,FALSE
sig.c,317,throw_to_top_level,functionimpl,sig.c,2939,['signal_handling'],['signal_handling'],signal_handling,FALSE
hashlib.h,87,hash_table,type,hashlib.h,728,['general'],['general'],general,FALSE
variables.c,339,kill_all_local_variables,functionimpl,variables.c,3480,['general'],['general'],general,FALSE
variables.c,339,create_variable_tables,functionimpl,variables.c,3471,['general'],['general'],general,FALSE
hashlib.h,87,hash_create,functionproto,hashlib.h,721,['general'],['general'],general,FALSE
hashlib.h,87,hash_dispose,functionproto,hashlib.h,722,['general'],['general'],general,FALSE
variables.c,339,pop_var_context,functionimpl,variables.c,3489,['general'],['general'],general,FALSE
hashlib.h,87,hash_flush,functionproto,hashlib.h,723,['general'],['general'],general,FALSE
test.h,334,test,file,test.h,3374,['general'],['general'],general,FALSE
builtins/common.c,25,sh_wrerror,functionimpl,builtins/common.c,68,['libbuiltins'],['libbuiltins'],libbuiltins,FALSE
externs.h,77,strerror,functionproto,externs.h,559,['general'],['general'],general,FALSE
general.h,83,make_absolute,functionproto,general.h,689,['general'],['general'],general,FALSE
general.h,83,full_pathname,functionproto,general.h,686,['general'],['general'],general,FALSE
general.h,83,legal_number,functionproto,general.h,688,['general'],['general'],general,FALSE
include/posixtime.h,94,posixtime,file,include/posixtime.h,738,['general'],['general'],general,FALSE
hashlib.c,86,hash_create,functionproto,hashlib.c,708,['general'],['general'],general,FALSE
hashlib.c,86,hash_dispose,functionproto,hashlib.c,709,['general'],['general'],general,FALSE
hashlib.c,86,hash_flush,functionproto,hashlib.c,710,['general'],['general'],general,FALSE
builtins/common.c,25,builtin_error_prolog,functionimpl,builtins/common.c,62,['libbuiltins'],['libbuiltins'],libbuiltins,FALSE
execute_cmd.h,75,executing_line_number,functionproto,execute_cmd.h,453,['general'],['general'],general,FALSE
execute_cmd.c,74,executing_line_number,functionimpl,execute_cmd.c,412,['general'],['general'],general,FALSE
hashcmd.h,85,hashcmd,file,hashcmd.h,702,['general'],['general'],general,FALSE
xmalloc.c,342,xmalloc,file,xmalloc.c,3706,['general'],['general'],general,FALSE
xmalloc.c,342,bytes,var,xmalloc.c,3707,['general'],['general'],general,FALSE
xmalloc.c,342,pointer,var,xmalloc.c,3708,['general'],['general'],general,FALSE
lib/malloc/malloc.c,149,pagealign,functionimpl,lib/malloc/malloc.c,1202,['libmalloc'],['libmalloc'],libmalloc,FALSE
lib/malloc/malloc.c,149,mhead,type,lib/malloc/malloc.c,1204,['libmalloc'],['libmalloc'],libmalloc,FALSE
lib/malloc/malloc.c,149,sbrk,functionproto,lib/malloc/malloc.c,1203,['libmalloc'],['libmalloc'],libmalloc,FALSE
lib/malloc/malloc.c,149,malloc,file,lib/malloc/malloc.c,1201,['libmalloc'],['libmalloc'],libmalloc,FALSE
lib/malloc/malloc.c,149,n,var,lib/malloc/malloc.c,1215,['libmalloc'],['libmalloc'],libmalloc,FALSE
lib/malloc/malloc.c,149,file,var,lib/malloc/malloc.c,1209,['libmalloc'],['libmalloc'],libmalloc,FALSE
lib/malloc/malloc.c,149,line,var,lib/malloc/malloc.c,1211,['libmalloc'],['libmalloc'],libmalloc,FALSE
lib/malloc/malloc.c,149,flags,var,lib/malloc/malloc.c,1210,['libmalloc'],['libmalloc'],libmalloc,FALSE
lib/malloc/malloc.c,149,mem,var,lib/malloc/malloc.c,1212,['libmalloc'],['libmalloc'],libmalloc,FALSE
lib/malloc/malloc.c,149,alignment,var,lib/malloc/malloc.c,1206,['libmalloc'],['libmalloc'],libmalloc,FALSE
lib/malloc/malloc.c,149,size,var,lib/malloc/malloc.c,1224,['libmalloc'],['libmalloc'],libmalloc,FALSE
lib/malloc/malloc.c,149,s,var,lib/malloc/malloc.c,1222,['libmalloc'],['libmalloc'],libmalloc,FALSE
lib/malloc/malloc.c,149,bytes,var,lib/malloc/malloc.c,1207,['libmalloc'],['libmalloc'],libmalloc,FALSE
lib/malloc/malloc.c,149,ptr,var,lib/malloc/malloc.c,1221,['libmalloc'],['libmalloc'],libmalloc,FALSE
lib/malloc/malloc.c,149,nbytes,var,lib/malloc/malloc.c,1216,['libmalloc'],['libmalloc'],libmalloc,FALSE
lib/malloc/malloc.c,149,pagesz,var,lib/malloc/malloc.c,1220,['libmalloc'],['libmalloc'],libmalloc,FALSE
lib/malloc/malloc.c,149,memtop,var,lib/malloc/malloc.c,1213,['libmalloc'],['libmalloc'],libmalloc,FALSE
lib/malloc/malloc.c,149,curbrk,var,lib/malloc/malloc.c,1208,['libmalloc'],['libmalloc'],libmalloc,FALSE
lib/malloc/malloc.c,149,sbrk_needed,var,lib/malloc/malloc.c,1223,['libmalloc'],['libmalloc'],libmalloc,FALSE
lib/malloc/malloc.c,149,_mstats,var,lib/malloc/malloc.c,1205,['libmalloc'],['libmalloc'],libmalloc,FALSE
lib/malloc/malloc.c,149,nunits,var,lib/malloc/malloc.c,1218,['libmalloc'],['libmalloc'],libmalloc,FALSE
lib/malloc/malloc.c,149,mp,var,lib/malloc/malloc.c,1214,['libmalloc'],['libmalloc'],libmalloc,FALSE
lib/malloc/malloc.c,149,nextf,var,lib/malloc/malloc.c,1217,['libmalloc'],['libmalloc'],libmalloc,FALSE
lib/malloc/malloc.c,149,pagebucket,var,lib/malloc/malloc.c,1219,['libmalloc'],['libmalloc'],libmalloc,FALSE
lib/malloc/imalloc.h,148,imalloc,file,lib/malloc/imalloc.h,1200,['general'],['general'],general,FALSE
lib/sh/pathphys.c,247,get_working_directory,functionproto,lib/sh/pathphys.c,2338,"['libsh', 'libsh']",['libsh'],libsh,FALSE
