Source_ID,Target_ID,Source_File,Target_File,Source_Member,Target_Member,Source_Member_Type,Target_Member_Type,Dependency_Type,Dependency_Count,Is_Member_Level,Source_Member_ID,Target_Member_ID,Source_Modules,Target_Modules,Source_Module,Target_Module
16,190,bashjmp.h,lib/readline/posixjmp.h,,,file,file,Import,1.0,False,,,['general'],['libreadline'],general,libreadline
276,89,lib/sh/tmpfile.c,include/filecntl.h,,,file,file,Import,1.0,False,,,['libsh'],['general'],libsh,general
7,99,array.h,include/stdc.h,,,file,file,Import,1.0,False,,,['general'],['general'],general,general
276,83,lib/sh/tmpfile.c,general.h,get_sys_tmpdir,file_iswdir,functionimpl,functionproto,Call,3.0,True,2514,685,['libsh'],['general'],libsh,general
232,316,lib/sh/getenv.c,shell.h,,,file,file,Import,1.0,False,,,['libsh'],['general'],libsh,general
104,26,jobs.c,builtins/common.h,job_working_directory,get_working_directory,functionimpl,functionproto,Call,1.0,True,784,102,['job_control'],['libbuiltins'],job_control,libbuiltins
104,26,jobs.c,builtins/common.h,,,file,file,Import,1.0,False,,,['job_control'],['libbuiltins'],job_control,libbuiltins
25,91,builtins/common.c,include/maxpath.h,,,file,file,Import,1.0,False,,,['libbuiltins'],['general'],libbuiltins,general
82,316,general.c,shell.h,,,file,file,Import,1.0,False,,,['general'],['general'],general,general
82,316,general.c,shell.h,initialize_group_array,user_info,functionimpl,type,Use,8.0,True,640,2925,['general'],['general'],general,general
82,316,general.c,shell.h,group_member,user_info,functionimpl,type,Use,8.0,True,639,2925,['general'],['general'],general,general
74,105,execute_cmd.c,jobs.h,,,file,file,Import,1.0,False,,,['general'],['job_control'],general,job_control
104,33,jobs.c,command.h,,command,file,type,Contain,2.0,False,,194,['job_control'],['general'],job_control,general
144,145,lib/intl/relocatable.c,lib/intl/relocatable.h,,,file,file,Import,1.0,False,,,['libintl'],['libintl'],libintl,libintl
104,39,jobs.c,error.h,set_tty_state,sys_error,functionimpl,functionproto,Call,3.0,True,797,263,['job_control'],['error_handling'],job_control,error_handling
104,39,jobs.c,error.h,notify_of_job_status,get_name_for_error,functionimpl,functionproto,Call,3.0,True,789,258,['job_control'],['error_handling'],job_control,error_handling
104,39,jobs.c,error.h,notify_of_job_status,programming_error,functionimpl,functionproto,Call,3.0,True,789,262,['job_control'],['error_handling'],job_control,error_handling
25,81,builtins/common.c,flags.h,,,file,file,Import,1.0,False,,,['libbuiltins'],['general'],libbuiltins,general
40,340,eval.c,variables.h,read_command,variable,functionimpl,type,Cast,1.0,True,266,3694,['general'],['general'],general,general
40,340,eval.c,variables.h,reader_loop,dispose_used_env_vars,functionimpl,functionproto,Call,4.0,True,267,3658,['general'],['general'],general,general
40,340,eval.c,variables.h,send_pwd_to_eterm,get_string_value,functionimpl,functionproto,Call,4.0,True,268,3665,['general'],['general'],general,general
40,340,eval.c,variables.h,parse_command,get_string_value,functionimpl,functionproto,Call,4.0,True,265,3665,['general'],['general'],general,general
40,340,eval.c,variables.h,read_command,find_variable,functionimpl,functionproto,Call,4.0,True,266,3662,['general'],['general'],general,general
40,340,eval.c,variables.h,read_command,variable,functionimpl,type,Use,1.0,True,266,3694,['general'],['general'],general,general
40,340,eval.c,variables.h,read_command,variable,functionimpl,type,Contain,1.0,True,266,3694,['general'],['general'],general,general
339,77,variables.c,externs.h,sh_get_home_dir,get_current_user_info,functionimpl,functionproto,Call,10.0,True,3498,538,['general'],['general'],general,general
339,77,variables.c,externs.h,set_shell_var,get_current_user_info,functionimpl,functionproto,Call,10.0,True,3497,538,['general'],['general'],general,general
339,77,variables.c,externs.h,get_bash_name,get_current_user_info,functionimpl,functionproto,Call,10.0,True,3474,538,['general'],['general'],general,general
339,77,variables.c,externs.h,get_bash_name,sh_canonpath,functionimpl,functionproto,Call,10.0,True,3474,558,['general'],['general'],general,general
