Source_ID,Target_ID,Source_File,Target_File,Source_Member,Target_Member,Source_Member_Type,Target_Member_Type,Dependency_Type,Dependency_Count,Is_Member_Level,Source_Member_ID,Target_Member_ID,Source_Module,Target_Module
5,3,main/java/org/apache/commons/imaging/ImageInfo.java,main/java/org/apache/commons/imaging/ImageFormat.java,toString,getName,function,function,Call,1.0,True,126.0,80.0,base,base
5,3,main/java/org/apache/commons/imaging/ImageInfo.java,main/java/org/apache/commons/imaging/ImageFormat.java,getFormat,ImageFormat,function,type,Return,1.0,True,113.0,81.0,base,base
5,3,main/java/org/apache/commons/imaging/ImageInfo.java,main/java/org/apache/commons/imaging/ImageFormat.java,ImageInfo,ImageFormat,function,type,Use,1.0,True,107.0,81.0,base,base
5,3,main/java/org/apache/commons/imaging/ImageInfo.java,main/java/org/apache/commons/imaging/ImageFormat.java,ImageInfo,ImageFormat,function,type,Parameter,1.0,True,107.0,81.0,base,base
5,3,main/java/org/apache/commons/imaging/ImageInfo.java,main/java/org/apache/commons/imaging/ImageFormat.java,ImageInfo,ImageFormat,type,type,Contain,1.0,True,130.0,81.0,base,base
91,34,main/java/org/apache/commons/imaging/formats/ico/IcoImageParser.java,main/java/org/apache/commons/imaging/common/ImageMetadata.java,,ImageMetadata,file,type,Import,1.0,False,,799.0,ico,common
91,34,main/java/org/apache/commons/imaging/formats/ico/IcoImageParser.java,main/java/org/apache/commons/imaging/common/ImageMetadata.java,getMetadata,ImageMetadata,function,type,Return,1.0,True,2103.0,799.0,ico,common
267,30,main/java/org/apache/commons/imaging/formats/tiff/fieldtypes/FieldTypeLong.java,main/java/org/apache/commons/imaging/common/ByteConversions.java,getValue,toInt,function,function,Call,5.0,True,6024.0,717.0,tiff,common
267,30,main/java/org/apache/commons/imaging/formats/tiff/fieldtypes/FieldTypeLong.java,main/java/org/apache/commons/imaging/common/ByteConversions.java,getValue,toInts,function,function,Call,5.0,True,6024.0,718.0,tiff,common
267,30,main/java/org/apache/commons/imaging/formats/tiff/fieldtypes/FieldTypeLong.java,main/java/org/apache/commons/imaging/common/ByteConversions.java,writeData,toBytes,function,function,Call,5.0,True,6025.0,712.0,tiff,common
267,30,main/java/org/apache/commons/imaging/formats/tiff/fieldtypes/FieldTypeLong.java,main/java/org/apache/commons/imaging/common/ByteConversions.java,,ByteConversions,file,type,Import,1.0,False,,725.0,tiff,common
267,30,main/java/org/apache/commons/imaging/formats/tiff/fieldtypes/FieldTypeLong.java,main/java/org/apache/commons/imaging/common/ByteConversions.java,getValue,ByteConversions,function,type,Use,5.0,True,6024.0,725.0,tiff,common
267,30,main/java/org/apache/commons/imaging/formats/tiff/fieldtypes/FieldTypeLong.java,main/java/org/apache/commons/imaging/common/ByteConversions.java,writeData,ByteConversions,function,type,Use,5.0,True,6025.0,725.0,tiff,common
235,286,main/java/org/apache/commons/imaging/formats/tiff/constants/AdobePhotoshopTagConstants.java,main/java/org/apache/commons/imaging/formats/tiff/taginfos/TagInfo.java,,TagInfo,file,type,Import,1.0,False,,6340.0,tiff,tiff
235,286,main/java/org/apache/commons/imaging/formats/tiff/constants/AdobePhotoshopTagConstants.java,main/java/org/apache/commons/imaging/formats/tiff/taginfos/TagInfo.java,ALL_ADOBE_PHOTOSHOP_TAGS,TagInfo,var,type,Use,1.0,True,5124.0,6340.0,tiff,tiff
235,286,main/java/org/apache/commons/imaging/formats/tiff/constants/AdobePhotoshopTagConstants.java,main/java/org/apache/commons/imaging/formats/tiff/taginfos/TagInfo.java,ALL_ADOBE_PHOTOSHOP_TAGS,TagInfo,var,type,Parameter,1.0,True,5124.0,6340.0,tiff,tiff
91,26,main/java/org/apache/commons/imaging/formats/ico/IcoImageParser.java,main/java/org/apache/commons/imaging/common/BinaryFileParser.java,IcoImageParser,setByteOrder,function,function,Call,22.0,True,2087.0,611.0,ico,common
91,26,main/java/org/apache/commons/imaging/formats/ico/IcoImageParser.java,main/java/org/apache/commons/imaging/common/BinaryFileParser.java,readFileHeader,getByteOrder,function,function,Call,22.0,True,2106.0,610.0,ico,common
91,26,main/java/org/apache/commons/imaging/formats/ico/IcoImageParser.java,main/java/org/apache/commons/imaging/common/BinaryFileParser.java,readIconInfo,getByteOrder,function,function,Call,22.0,True,2108.0,610.0,ico,common
91,26,main/java/org/apache/commons/imaging/formats/ico/IcoImageParser.java,main/java/org/apache/commons/imaging/common/BinaryFileParser.java,readBitmapIconData,getByteOrder,function,function,Call,22.0,True,2104.0,610.0,ico,common
91,27,main/java/org/apache/commons/imaging/formats/ico/IcoImageParser.java,main/java/org/apache/commons/imaging/common/BinaryFunctions.java,readFileHeader,read2Bytes,function,function,Call,25.0,True,2106.0,635.0,ico,common
91,27,main/java/org/apache/commons/imaging/formats/ico/IcoImageParser.java,main/java/org/apache/commons/imaging/common/BinaryFunctions.java,readIconInfo,readByte,function,function,Call,25.0,True,2108.0,639.0,ico,common
91,27,main/java/org/apache/commons/imaging/formats/ico/IcoImageParser.java,main/java/org/apache/commons/imaging/common/BinaryFunctions.java,readIconInfo,read2Bytes,function,function,Call,25.0,True,2108.0,635.0,ico,common
91,27,main/java/org/apache/commons/imaging/formats/ico/IcoImageParser.java,main/java/org/apache/commons/imaging/common/BinaryFunctions.java,readIconInfo,read4Bytes,function,function,Call,25.0,True,2108.0,637.0,ico,common
91,27,main/java/org/apache/commons/imaging/formats/ico/IcoImageParser.java,main/java/org/apache/commons/imaging/common/BinaryFunctions.java,readBitmapIconData,read4Bytes,function,function,Call,25.0,True,2104.0,637.0,ico,common
91,27,main/java/org/apache/commons/imaging/formats/ico/IcoImageParser.java,main/java/org/apache/commons/imaging/common/BinaryFunctions.java,readBitmapIconData,read2Bytes,function,function,Call,25.0,True,2104.0,635.0,ico,common
91,27,main/java/org/apache/commons/imaging/formats/ico/IcoImageParser.java,main/java/org/apache/commons/imaging/common/BinaryFunctions.java,,,file,function,Import,3.0,False,,,ico,common
91,28,main/java/org/apache/commons/imaging/formats/ico/IcoImageParser.java,main/java/org/apache/commons/imaging/common/BinaryOutputStream.java,readBitmapIconData,BinaryOutputStream,function,type,Call,59.0,True,2104.0,699.0,ico,common
91,28,main/java/org/apache/commons/imaging/formats/ico/IcoImageParser.java,main/java/org/apache/commons/imaging/common/BinaryOutputStream.java,readBitmapIconData,write,function,function,Call,59.0,True,2104.0,695.0,ico,common
91,28,main/java/org/apache/commons/imaging/formats/ico/IcoImageParser.java,main/java/org/apache/commons/imaging/common/BinaryOutputStream.java,readBitmapIconData,write4Bytes,function,function,Call,59.0,True,2104.0,698.0,ico,common
91,28,main/java/org/apache/commons/imaging/formats/ico/IcoImageParser.java,main/java/org/apache/commons/imaging/common/BinaryOutputStream.java,readBitmapIconData,write2Bytes,function,function,Call,59.0,True,2104.0,696.0,ico,common
91,28,main/java/org/apache/commons/imaging/formats/ico/IcoImageParser.java,main/java/org/apache/commons/imaging/common/BinaryOutputStream.java,readBitmapIconData,flush,function,function,Call,59.0,True,2104.0,691.0,ico,common
91,28,main/java/org/apache/commons/imaging/formats/ico/IcoImageParser.java,main/java/org/apache/commons/imaging/common/BinaryOutputStream.java,writeImage,BinaryOutputStream,function,type,Call,59.0,True,2110.0,699.0,ico,common
91,28,main/java/org/apache/commons/imaging/formats/ico/IcoImageParser.java,main/java/org/apache/commons/imaging/common/BinaryOutputStream.java,writeImage,write2Bytes,function,function,Call,59.0,True,2110.0,696.0,ico,common
91,28,main/java/org/apache/commons/imaging/formats/ico/IcoImageParser.java,main/java/org/apache/commons/imaging/common/BinaryOutputStream.java,writeImage,write,function,function,Call,59.0,True,2110.0,695.0,ico,common
91,28,main/java/org/apache/commons/imaging/formats/ico/IcoImageParser.java,main/java/org/apache/commons/imaging/common/BinaryOutputStream.java,writeImage,write4Bytes,function,function,Call,59.0,True,2110.0,698.0,ico,common
91,28,main/java/org/apache/commons/imaging/formats/ico/IcoImageParser.java,main/java/org/apache/commons/imaging/common/BinaryOutputStream.java,writeImage,write3Bytes,function,function,Call,59.0,True,2110.0,697.0,ico,common
91,28,main/java/org/apache/commons/imaging/formats/ico/IcoImageParser.java,main/java/org/apache/commons/imaging/common/BinaryOutputStream.java,writeImage,close,function,function,Call,59.0,True,2110.0,690.0,ico,common
91,28,main/java/org/apache/commons/imaging/formats/ico/IcoImageParser.java,main/java/org/apache/commons/imaging/common/BinaryOutputStream.java,,BinaryOutputStream,file,type,Import,1.0,False,,699.0,ico,common
91,28,main/java/org/apache/commons/imaging/formats/ico/IcoImageParser.java,main/java/org/apache/commons/imaging/common/BinaryOutputStream.java,readBitmapIconData,BinaryOutputStream,function,type,Create,2.0,True,2104.0,699.0,ico,common
91,28,main/java/org/apache/commons/imaging/formats/ico/IcoImageParser.java,main/java/org/apache/commons/imaging/common/BinaryOutputStream.java,writeImage,BinaryOutputStream,function,type,Create,2.0,True,2110.0,699.0,ico,common
91,28,main/java/org/apache/commons/imaging/formats/ico/IcoImageParser.java,main/java/org/apache/commons/imaging/common/BinaryOutputStream.java,readBitmapIconData,BinaryOutputStream,function,type,Contain,2.0,True,2104.0,699.0,ico,common
91,28,main/java/org/apache/commons/imaging/formats/ico/IcoImageParser.java,main/java/org/apache/commons/imaging/common/BinaryOutputStream.java,writeImage,BinaryOutputStream,function,type,Contain,2.0,True,2110.0,699.0,ico,common
235,252,main/java/org/apache/commons/imaging/formats/tiff/constants/AdobePhotoshopTagConstants.java,main/java/org/apache/commons/imaging/formats/tiff/constants/TiffDirectoryType.java,AdobePhotoshopTagConstants,EXIF_DIRECTORY_UNKNOWN,type,var,Use,4.0,True,5123.0,5556.0,tiff,tiff
235,252,main/java/org/apache/commons/imaging/formats/tiff/constants/AdobePhotoshopTagConstants.java,main/java/org/apache/commons/imaging/formats/tiff/constants/TiffDirectoryType.java,AdobePhotoshopTagConstants,TiffDirectoryType,type,type,Use,4.0,True,5123.0,5546.0,tiff,tiff
235,252,main/java/org/apache/commons/imaging/formats/tiff/constants/AdobePhotoshopTagConstants.java,main/java/org/apache/commons/imaging/formats/tiff/constants/TiffDirectoryType.java,AdobePhotoshopTagConstants,EXIF_DIRECTORY_IFD0,type,var,Use,4.0,True,5123.0,5549.0,tiff,tiff
165,158,main/java/org/apache/commons/imaging/formats/png/chunks/PngChunkPlte.java,main/java/org/apache/commons/imaging/formats/png/chunks/PngChunk.java,PngChunkPlte,PngChunk,function,type,Call,1.0,True,3811.0,3715.0,png,png
