File,ID,Member_Name,Member_Type,Entity,Member_ID,Module,Module_List,Duplicated
camera_hdf/interfaces/hdi_ipc/client/provider/dcamera_provider_proxy.h,49,EnableDCameraDevice,functionproto,camera_hdf/interfaces/hdi_ipc/client/provider/dcamera_provider_proxy.h,1038,VirtualCameraHdf,['VirtualCameraHdf'],False
camera_hdf/interfaces/include/types.h,73,DCamRetCode,alias,camera_hdf/interfaces/include/types.h,1374,VirtualCameraHdf,['VirtualCameraHdf'],False
camera_hdf/interfaces/hdi_ipc/client/provider/dcamera_provider_proxy.h,49,DisableDCameraDevice,functionproto,camera_hdf/interfaces/hdi_ipc/client/provider/dcamera_provider_proxy.h,1037,VirtualCameraHdf,['VirtualCameraHdf'],False
camera_hdf/interfaces/hdi_ipc/client/provider/dcamera_provider_proxy.h,49,AcquireBuffer,functionproto,camera_hdf/interfaces/hdi_ipc/client/provider/dcamera_provider_proxy.h,1034,VirtualCameraHdf,['VirtualCameraHdf'],False
camera_hdf/interfaces/hdi_ipc/client/provider/dcamera_provider_proxy.h,49,ShutterBuffer,functionproto,camera_hdf/interfaces/hdi_ipc/client/provider/dcamera_provider_proxy.h,1041,VirtualCameraHdf,['VirtualCameraHdf'],False
camera_hdf/interfaces/hdi_ipc/client/provider/dcamera_provider_proxy.h,49,OnSettingsResult,functionproto,camera_hdf/interfaces/hdi_ipc/client/provider/dcamera_provider_proxy.h,1040,VirtualCameraHdf,['VirtualCameraHdf'],False
camera_hdf/interfaces/hdi_ipc/client/provider/dcamera_provider_proxy.h,49,Notify,functionproto,camera_hdf/interfaces/hdi_ipc/client/provider/dcamera_provider_proxy.h,1039,VirtualCameraHdf,['VirtualCameraHdf'],False
services/cameraservice/cameraoperator/client/src/callback/dcamera_video_callback.cpp,130,dcamera_video_callback,file,services/cameraservice/cameraoperator/client/src/callback/dcamera_video_callback.cpp,1999,utils,['utils'],False
common/include/constants/distributed_camera_constants.h,74,distributed_camera_constants,file,common/include/constants/distributed_camera_constants.h,1412,utils,['utils'],False
camera_hdf/interfaces/hdi_ipc/client/provider/dcamera_provider_proxy.h,49,dcamera_provider_proxy,file,camera_hdf/interfaces/hdi_ipc/client/provider/dcamera_provider_proxy.h,1032,VirtualCameraHdf,['VirtualCameraHdf'],False
camera_hdf/interfaces/include/idistributed_camera_provider.h,71,idistributed_camera_provider,file,camera_hdf/interfaces/include/idistributed_camera_provider.h,1350,VirtualCameraHdf,['VirtualCameraHdf'],False
services/cameraservice/base/src/dcamera_open_info_cmd.cpp,113,dcamera_open_info_cmd,file,services/cameraservice/base/src/dcamera_open_info_cmd.cpp,1876,CameraServiceCommon,['CameraServiceCommon'],False
common/include/constants/distributed_camera_errno.h,75,distributed_camera_errno,file,common/include/constants/distributed_camera_errno.h,1452,utils,['utils'],False
interfaces/inner_kits/native_cpp/camera_source/src/distributed_camera_source_proxy.cpp,99,InitSource,functionimpl,interfaces/inner_kits/native_cpp/camera_source/src/distributed_camera_source_proxy.cpp,1733,DistributedCameraSourceMgr,['DistributedCameraSourceMgr'],False
interfaces/inner_kits/native_cpp/camera_source/src/distributed_camera_source_proxy.cpp,99,data,var,interfaces/inner_kits/native_cpp/camera_source/src/distributed_camera_source_proxy.cpp,1738,DistributedCameraSourceMgr,['DistributedCameraSourceMgr'],False
interfaces/inner_kits/native_cpp/camera_source/src/distributed_camera_source_proxy.cpp,99,params,var,interfaces/inner_kits/native_cpp/camera_source/src/distributed_camera_source_proxy.cpp,1744,DistributedCameraSourceMgr,['DistributedCameraSourceMgr'],False
interfaces/inner_kits/native_cpp/camera_source/src/distributed_camera_source_proxy.cpp,99,callback,var,interfaces/inner_kits/native_cpp/camera_source/src/distributed_camera_source_proxy.cpp,1737,DistributedCameraSourceMgr,['DistributedCameraSourceMgr'],False
