Source_ID,Target_ID,Source_File,Target_File,Source_Member,Target_Member,Source_Member_Type,Target_Member_Type,Dependency_Type,Dependency_Count,Is_Member_Level,Source_Member_ID,Target_Member_ID,Source_Modules,Target_Modules,Source_Module,Target_Module
49,73,camera_hdf/interfaces/hdi_ipc/client/provider/dcamera_provider_proxy.h,camera_hdf/interfaces/include/types.h,EnableDCameraDevice,DCamRetCode,functionproto,alias,Return,6.0,True,1038,1374,['VirtualCameraHdf'],['VirtualCameraHdf'],VirtualCameraHdf,VirtualCameraHdf
49,73,camera_hdf/interfaces/hdi_ipc/client/provider/dcamera_provider_proxy.h,camera_hdf/interfaces/include/types.h,DisableDCameraDevice,DCamRetCode,functionproto,alias,Return,6.0,True,1037,1374,['VirtualCameraHdf'],['VirtualCameraHdf'],VirtualCameraHdf,VirtualCameraHdf
49,73,camera_hdf/interfaces/hdi_ipc/client/provider/dcamera_provider_proxy.h,camera_hdf/interfaces/include/types.h,AcquireBuffer,DCamRetCode,functionproto,alias,Return,6.0,True,1034,1374,['VirtualCameraHdf'],['VirtualCameraHdf'],VirtualCameraHdf,VirtualCameraHdf
49,73,camera_hdf/interfaces/hdi_ipc/client/provider/dcamera_provider_proxy.h,camera_hdf/interfaces/include/types.h,ShutterBuffer,DCamRetCode,functionproto,alias,Return,6.0,True,1041,1374,['VirtualCameraHdf'],['VirtualCameraHdf'],VirtualCameraHdf,VirtualCameraHdf
49,73,camera_hdf/interfaces/hdi_ipc/client/provider/dcamera_provider_proxy.h,camera_hdf/interfaces/include/types.h,OnSettingsResult,DCamRetCode,functionproto,alias,Return,6.0,True,1040,1374,['VirtualCameraHdf'],['VirtualCameraHdf'],VirtualCameraHdf,VirtualCameraHdf
49,73,camera_hdf/interfaces/hdi_ipc/client/provider/dcamera_provider_proxy.h,camera_hdf/interfaces/include/types.h,Notify,DCamRetCode,functionproto,alias,Return,6.0,True,1039,1374,['VirtualCameraHdf'],['VirtualCameraHdf'],VirtualCameraHdf,VirtualCameraHdf
130,74,services/cameraservice/cameraoperator/client/src/callback/dcamera_video_callback.cpp,common/include/constants/distributed_camera_constants.h,,,file,file,Import,1.0,False,,,['utils'],['utils'],utils,utils
49,71,camera_hdf/interfaces/hdi_ipc/client/provider/dcamera_provider_proxy.h,camera_hdf/interfaces/include/idistributed_camera_provider.h,,,file,file,Import,1.0,False,,,['VirtualCameraHdf'],['VirtualCameraHdf'],VirtualCameraHdf,VirtualCameraHdf
113,75,services/cameraservice/base/src/dcamera_open_info_cmd.cpp,common/include/constants/distributed_camera_errno.h,,,file,file,Import,1.0,False,,,['CameraServiceCommon'],['utils'],CameraServiceCommon,utils
113,74,services/cameraservice/base/src/dcamera_open_info_cmd.cpp,common/include/constants/distributed_camera_constants.h,,,file,file,Import,1.0,False,,,['CameraServiceCommon'],['utils'],CameraServiceCommon,utils
