File,ID,Member_Name,Member_Type,Entity,Member_ID,Module,Module_List,Duplicated
core/host/src/devhost_service.c,28,DevHostServiceCreate,functionimpl,core/host/src/devhost_service.c,418,kernal_host,['kernal_host'],False
core/host/src/devhost_service.c,28,DevHostServiceRelease,functionimpl,core/host/src/devhost_service.c,427,kernal_host,['kernal_host'],False
core/host/include/hdf_service_observer.h,25,HdfServiceObserverPublishService,functionproto,core/host/include/hdf_service_observer.h,399,kernal_host,['kernal_host'],False
include/core/hdf_object.h,98,HdfObject,type,include/core/hdf_object.h,1265,common,['common'],False
core/host/include/hdf_service_observer.h,25,HdfServiceObserverSubscribeService,functionproto,core/host/include/hdf_service_observer.h,401,kernal_host,['kernal_host'],False
include/core/hdf_device_desc.h,96,SubscriberCallback,type,include/core/hdf_device_desc.h,1241,common,['common'],False
include/osal/osal_mutex.h,111,OsalMutexTimedLock,functionproto,include/osal/osal_mutex.h,1398,osal,['osal'],False
include/osal/osal_mutex.h,111,OsalMutexUnlock,functionproto,include/osal/osal_mutex.h,1399,osal,['osal'],False
include/osal/osal_mutex.h,111,OsalMutexDestroy,functionproto,include/osal/osal_mutex.h,1395,osal,['osal'],False
include/osal/osal_mutex.h,111,OsalMutexInit,functionproto,include/osal/osal_mutex.h,1396,osal,['osal'],False
include/osal/osal_mutex.h,111,osal_mutex,file,include/osal/osal_mutex.h,1394,osal,['osal'],False
include/osal/osal_mutex.h,111,OsalMutex,type,include/osal/osal_mutex.h,1400,osal,['osal'],False
include/osal/osal_sem.h,112,OsalSemPost,functionproto,include/osal/osal_sem.h,1404,osal,['osal'],False
include/utils/hdf_base.h,142,hdf_base,file,include/utils/hdf_base.h,1763,utils,['utils'],False
include/osal/osal_mem.h,110,OsalMemFree,functionproto,include/osal/osal_mem.h,1393,osal,['osal'],False
include/osal/osal_mem.h,110,OsalMemCalloc,functionproto,include/osal/osal_mem.h,1392,osal,['osal'],False
include/osal/osal_time.h,115,OsalMSleep,functionproto,include/osal/osal_time.h,1434,osal,['osal'],False
include/osal/osal_time.h,115,osal_time,file,include/osal/osal_time.h,1429,osal,['osal'],False
include/osal/osal_thread.h,114,OsalThreadCreate,functionproto,include/osal/osal_thread.h,1420,osal,['osal'],False
include/osal/osal_thread.h,114,OsalThreadStart,functionproto,include/osal/osal_thread.h,1423,osal,['osal'],False
include/osal/osal_thread.h,114,OsalThreadDestroy,functionproto,include/osal/osal_thread.h,1421,osal,['osal'],False
include/osal/osal_thread.h,114,osal_thread,file,include/osal/osal_thread.h,1418,osal,['osal'],False
include/osal/osal_thread.h,114,OsalThreadParam,type,include/osal/osal_thread.h,1427,osal,['osal'],False
include/osal/osal_thread.h,114,OsalThread,type,include/osal/osal_thread.h,1426,osal,['osal'],False
core/manager/src/power_state_token_clnt.c,58,PowerStateTokenClntNewInstance,functionimpl,core/manager/src/power_state_token_clnt.c,910,manager,['manager'],False
core/manager/src/power_state_token_clnt.c,58,PowerStateTokenClntFreeInstance,functionimpl,core/manager/src/power_state_token_clnt.c,909,manager,['manager'],False
core/manager/src/power_state_token_clnt.c,58,power_state_token_clnt,file,core/manager/src/power_state_token_clnt.c,907,manager,['manager'],False
include/osal/osal_mem.h,110,osal_mem,file,include/osal/osal_mem.h,1389,osal,['osal'],False
core/manager/src/hdf_host_info.c,57,HdfHostInfoDelete,functionimpl,core/manager/src/hdf_host_info.c,902,manager,['manager'],False
core/manager/src/hdf_host_info.c,57,HdfHostInfoFreeInstance,functionimpl,core/manager/src/hdf_host_info.c,903,manager,['manager'],False
core/manager/src/hdf_host_info.c,57,hostInfo,var,core/manager/src/hdf_host_info.c,905,manager,['manager'],False
core/manager/src/hdf_host_info.c,57,listEntry,var,core/manager/src/hdf_host_info.c,906,manager,['manager'],False
include/osal/osal_atomic.h,104,,type,include/osal/osal_atomic.h,1352,osal,['osal'],False
core/manager/src/hdf_host_info.c,57,HdfHostInfoNewInstance,functionimpl,core/manager/src/hdf_host_info.c,904,manager,['manager'],False
core/manager/include/hdf_host_info.h,48,HdfHostInfo,type,core/manager/include/hdf_host_info.h,719,manager,['manager'],False
core/manager/src/hdf_host_info.c,57,hdf_host_info,file,core/manager/src/hdf_host_info.c,901,manager,['manager'],False
core/manager/include/hdf_host_info.h,48,hdf_host_info,file,core/manager/include/hdf_host_info.h,715,manager,['manager'],False
core/manager/include/hdf_host_info.h,48,HdfHostInfoNewInstance,functionproto,core/manager/include/hdf_host_info.h,718,manager,['manager'],False
core/manager/include/hdf_host_info.h,48,HdfHostInfoFreeInstance,functionproto,core/manager/include/hdf_host_info.h,717,manager,['manager'],False
