File,ID,Member_Name,Member_Type,Entity,Member_ID,Modules,Module_List,Module,Duplicated
net/sf/jabref/logic/importer/fileformat/mods/RelatedItemDefinition.java,851,RelatedItemDefinition,type,net.sf.jabref.logic.importer.fileformat.mods.RelatedItemDefinition,22058,['logic'],['logic'],logic,False
net/sf/jabref/logic/importer/fileformat/mods/PhysicalDescriptionDefinition.java,673,PhysicalDescriptionDefinition,type,net.sf.jabref.logic.importer.fileformat.mods.PhysicalDescriptionDefinition,18055,['logic'],['logic'],logic,False
net/sf/jabref/JabRefMain.java,5,start,function,net.sf.jabref.JabRefMain,102,['gui'],['gui'],gui,False
net/sf/jabref/logic/importer/fileformat/medline/AffiliationInfo.java,553,identifier,var,net.sf.jabref.logic.importer.fileformat.medline.AffiliationInfo,16126,['logic'],['logic'],logic,False
net/sf/jabref/logic/importer/fileformat/medline/Identifier.java,758,Identifier,type,net.sf.jabref.logic.importer.fileformat.medline.Identifier,20368,['logic'],['logic'],logic,False
net/sf/jabref/Globals.java,1,startBackgroundTasks,function,net.sf.jabref.Globals,12,['globals'],['globals'],globals,False
net/sf/jabref/Globals.java,1,Globals,type,net.sf.jabref.Globals,13,['globals'],['globals'],globals,False
net/sf/jabref/Globals.java,1,prefs,var,net.sf.jabref.Globals,21,['globals'],['globals'],globals,False
net/sf/jabref/Globals.java,1,journalAbbreviationLoader,var,net.sf.jabref.Globals,19,['globals'],['globals'],globals,False
net/sf/jabref/Globals.java,1,IMPORT_FORMAT_READER,var,net.sf.jabref.Globals,15,['globals'],['globals'],globals,False
net/sf/jabref/Globals.java,1,protectedTermsLoader,var,net.sf.jabref.Globals,22,['globals'],['globals'],globals,False
net/sf/jabref/Globals.java,1,REMOTE_LISTENER,var,net.sf.jabref.Globals,16,['globals'],['globals'],globals,False
net/sf/jabref/JabRefExecutorService.java,3,INSTANCE,var,net.sf.jabref.JabRefExecutorService,45,['logic'],['logic'],logic,False
net/sf/jabref/JabRefExecutorService.java,3,JabRefExecutorService,type,net.sf.jabref.JabRefExecutorService,44,['logic'],['logic'],logic,False
net/sf/jabref/collab/ChangeScanner.java,16,net/sf/jabref/collab/ChangeScanner,file,net.sf.jabref.collab.ChangeScanner,346,['gui'],['gui'],gui,False
net/sf/jabref/model/entry/BibEntry.java,1092,BibEntry,type,net.sf.jabref.model.entry.BibEntry,26064,['model'],['model'],model,False
net/sf/jabref/collab/ChangeScanner.java,16,bestFit,function,net.sf.jabref.collab.ChangeScanner,348,['gui'],['gui'],gui,False
net/sf/jabref/JabRefGUI.java,4,JabRefGUI,type,net.sf.jabref.JabRefGUI,67,['gui'],['gui'],gui,False
net/sf/jabref/collab/ChangeScanner.java,16,scanStrings,function,net.sf.jabref.collab.ChangeScanner,358,['gui'],['gui'],gui,False
net/sf/jabref/model/entry/BibtexString.java,1098,getName,function,net.sf.jabref.model.entry.BibtexString,26281,['model'],['model'],model,False
net/sf/jabref/model/entry/BibtexString.java,1098,getContent,function,net.sf.jabref.model.entry.BibtexString,26279,['model'],['model'],model,False
net/sf/jabref/model/entry/BibtexString.java,1098,getId,function,net.sf.jabref.model.entry.BibtexString,26280,['model'],['model'],model,False
net/sf/jabref/collab/ChangeScanner.java,16,findString,function,net.sf.jabref.collab.ChangeScanner,351,['gui'],['gui'],gui,False
net/sf/jabref/model/entry/BibtexString.java,1098,BibtexString,type,net.sf.jabref.model.entry.BibtexString,26291,['model'],['model'],model,False
net/sf/jabref/JabRefMain.java,5,main,function,net.sf.jabref.JabRefMain,101,['gui'],['gui'],gui,False
net/sf/jabref/JabRefMain.java,5,JabRefMain,type,net.sf.jabref.JabRefMain,103,['gui'],['gui'],gui,False
net/sf/jabref/JabRefMain.java,5,LOGGER,var,net.sf.jabref.JabRefMain,104,['gui'],['gui'],gui,False
net/sf/jabref/cli/ArgumentProcessor.java,6,ArgumentProcessor,type,net.sf.jabref.cli.ArgumentProcessor,132,['cli'],['cli'],cli,False
net/sf/jabref/cli/ArgumentProcessor.java,6,shouldShutDown,function,net.sf.jabref.cli.ArgumentProcessor,131,['cli'],['cli'],cli,False
net/sf/jabref/cli/ArgumentProcessor.java,6,getParserResults,function,net.sf.jabref.cli.ArgumentProcessor,121,['cli'],['cli'],cli,False
net/sf/jabref/cli/ArgumentProcessor.java,6,isBlank,function,net.sf.jabref.cli.ArgumentProcessor,127,['cli'],['cli'],cli,False
net/sf/jabref/JabRefMain.java,5,net/sf/jabref/JabRefMain,file,net.sf.jabref.JabRefMain,100,['gui'],['gui'],gui,False
net/sf/jabref/logic/importer/fileformat/medline/Sections.java,631,section,var,net.sf.jabref.logic.importer.fileformat.medline.Sections,17131,['logic'],['logic'],logic,False
net/sf/jabref/logic/importer/fileformat/medline/Section.java,629,Section,type,net.sf.jabref.logic.importer.fileformat.medline.Section,17113,['logic'],['logic'],logic,False
net/sf/jabref/logic/importer/fileformat/mods/PartDefinition.java,672,PartDefinition,type,net.sf.jabref.logic.importer.fileformat.mods.PartDefinition,18030,['logic'],['logic'],logic,False
net/sf/jabref/gui/push/PushToTexmaker.java,297,net/sf/jabref/gui/push/PushToTexmaker,file,net.sf.jabref.gui.push.PushToTexmaker,9913,['gui'],['gui'],gui,False
net/sf/jabref/preferences/JabRefPreferences.java,1160,JabRefPreferences,type,net.sf.jabref.preferences.JabRefPreferences,27724,['preferences'],['preferences'],preferences,False
net/sf/jabref/gui/push/PushToTexmaker.java,297,initParameters,function,net.sf.jabref.gui.push.PushToTexmaker,9916,['gui'],['gui'],gui,False
net/sf/jabref/preferences/JabRefPreferences.java,1160,TEXMAKER_PATH,var,net.sf.jabref.preferences.JabRefPreferences,27965,['preferences'],['preferences'],preferences,False
net/sf/jabref/logic/exporter/IExportFormat.java,428,net/sf/jabref/logic/exporter/IExportFormat,file,net.sf.jabref.logic.exporter.IExportFormat,12553,['logic'],['logic'],logic,False
net/sf/jabref/logic/importer/fileformat/mods/StringPlusLanguage.java,686,net/sf/jabref/logic/importer/fileformat/mods/StringPlusLanguage,file,net.sf.jabref.logic.importer.fileformat.mods.StringPlusLanguage,18246,['logic'],['logic'],logic,False
net/sf/jabref/logic/importer/fileformat/mods/DateDefinition.java,813,DateDefinition,type,net.sf.jabref.logic.importer.fileformat.mods.DateDefinition,21201,['logic'],['logic'],logic,False
net/sf/jabref/shared/OracleProcessor.java,1176,startNotificationListener,function,net.sf.jabref.shared.OracleProcessor,28501,['logic'],['logic'],logic,False
net/sf/jabref/shared/listener/OracleNotificationListener.java,1186,OracleNotificationListener,type,net.sf.jabref.shared.listener.OracleNotificationListener,28573,['logic'],['logic'],logic,False
net/sf/jabref/shared/OracleProcessor.java,1176,net/sf/jabref/shared/OracleProcessor,file,net.sf.jabref.shared.OracleProcessor,28497,['logic'],['logic'],logic,False
net/sf/jabref/shared/OracleProcessor.java,1176,OracleProcessor,type,net.sf.jabref.shared.OracleProcessor,28503,['logic'],['logic'],logic,False
net/sf/jabref/gui/preftabs/BibtexKeyPatternPrefTab.java,267,net/sf/jabref/gui/preftabs/BibtexKeyPatternPrefTab,file,net.sf.jabref.gui.preftabs.BibtexKeyPatternPrefTab,8902,['gui'],['gui'],gui,False
net/sf/jabref/gui/BasePanel.java,31,BasePanel,type,net.sf.jabref.gui.BasePanel,751,['gui'],['gui'],gui,False
net/sf/jabref/gui/preftabs/BibtexKeyPatternPrefTab.java,267,BibtexKeyPatternPrefTab,function,net.sf.jabref.gui.preftabs.BibtexKeyPatternPrefTab,8903,['gui'],['gui'],gui,False
