Source_ID,Target_ID,Source_File,Target_File,Source_Member,Target_Member,Source_Member_Type,Target_Member_Type,Dependency_Type,Dependency_Count,Is_Member_Level,Source_Member_ID,Target_Member_ID,Source_Modules,Target_Modules,Source_Module,Target_Module
851,673,net/sf/jabref/logic/importer/fileformat/mods/RelatedItemDefinition.java,net/sf/jabref/logic/importer/fileformat/mods/PhysicalDescriptionDefinition.java,RelatedItemDefinition,PhysicalDescriptionDefinition,type,type,Use,1.0,False,22058.0,18055.0,['logic'],['logic'],logic,logic
553,758,net/sf/jabref/logic/importer/fileformat/medline/AffiliationInfo.java,net/sf/jabref/logic/importer/fileformat/medline/Identifier.java,identifier,Identifier,var,type,Use,1.0,True,16126.0,20368.0,['logic'],['logic'],logic,logic
553,758,net/sf/jabref/logic/importer/fileformat/medline/AffiliationInfo.java,net/sf/jabref/logic/importer/fileformat/medline/Identifier.java,identifier,Identifier,var,type,Parameter,1.0,True,16126.0,20368.0,['logic'],['logic'],logic,logic
5,1,net/sf/jabref/JabRefMain.java,net/sf/jabref/Globals.java,start,startBackgroundTasks,function,function,Call,1.0,True,102.0,12.0,['gui'],['globals'],gui,globals
5,1,net/sf/jabref/JabRefMain.java,net/sf/jabref/Globals.java,,Globals,function,type,Use,47.0,False,,13.0,['gui'],['globals'],gui,globals
5,1,net/sf/jabref/JabRefMain.java,net/sf/jabref/Globals.java,start,prefs,function,var,Use,47.0,True,102.0,21.0,['gui'],['globals'],gui,globals
5,1,net/sf/jabref/JabRefMain.java,net/sf/jabref/Globals.java,start,journalAbbreviationLoader,function,var,Use,47.0,True,102.0,19.0,['gui'],['globals'],gui,globals
5,1,net/sf/jabref/JabRefMain.java,net/sf/jabref/Globals.java,start,IMPORT_FORMAT_READER,function,var,Use,47.0,True,102.0,15.0,['gui'],['globals'],gui,globals
5,1,net/sf/jabref/JabRefMain.java,net/sf/jabref/Globals.java,start,protectedTermsLoader,function,var,Use,47.0,True,102.0,22.0,['gui'],['globals'],gui,globals
5,1,net/sf/jabref/JabRefMain.java,net/sf/jabref/Globals.java,start,REMOTE_LISTENER,function,var,Use,47.0,True,102.0,16.0,['gui'],['globals'],gui,globals
