Source_ID,Target_ID,Source_File,Target_File,Source_Member,Target_Member,Source_Member_Type,Target_Member_Type,Dependency_Type,Dependency_Count,Is_Member_Level,Source_Member_ID,Target_Member_ID,Source_Module,Target_Module
230,257,lucene/contrib/queryparser/src/java/org/apache/lucene/queryParser/standard/builders/WildcardQueryNodeBuilder.java,lucene/contrib/queryparser/src/java/org/apache/lucene/queryParser/standard/config/MultiTermRewriteMethodAttribute.java,,MultiTermRewriteMethodAttribute,file,type,Import,1,FALSE,,5552,queryparser,queryparser
230,257,lucene/contrib/queryparser/src/java/org/apache/lucene/queryParser/standard/builders/WildcardQueryNodeBuilder.java,lucene/contrib/queryparser/src/java/org/apache/lucene/queryParser/standard/config/MultiTermRewriteMethodAttribute.java,build,TAG_ID,function,var,Use,2,TRUE,5331,5553,queryparser,queryparser
230,257,lucene/contrib/queryparser/src/java/org/apache/lucene/queryParser/standard/builders/WildcardQueryNodeBuilder.java,lucene/contrib/queryparser/src/java/org/apache/lucene/queryParser/standard/config/MultiTermRewriteMethodAttribute.java,build,MultiTermRewriteMethodAttribute,function,type,Use,2,TRUE,5331,5552,queryparser,queryparser
389,783,lucene/contrib/spellchecker/src/java/org/apache/lucene/search/spell/SpellChecker.java,lucene/src/java/org/apache/lucene/search/TopDocs.java,suggestSimilar,scoreDocs,function,var,Use,1,TRUE,8451,19382,search,search
946,916,lucene/src/java/org/apache/lucene/util/automaton/State.java,lucene/src/java/org/apache/lucene/util/RamUsageEstimator.java,,RamUsageEstimator,file,type,Import,1,FALSE,,22609,util,util
946,916,lucene/src/java/org/apache/lucene/util/automaton/State.java,lucene/src/java/org/apache/lucene/util/RamUsageEstimator.java,addTransition,NUM_BYTES_OBJECT_REF,function,var,Use,2,TRUE,23595,22616,util,util
946,916,lucene/src/java/org/apache/lucene/util/automaton/State.java,lucene/src/java/org/apache/lucene/util/RamUsageEstimator.java,addTransition,RamUsageEstimator,function,type,Use,2,TRUE,23595,22609,util,util
475,879,lucene/src/java/org/apache/lucene/analysis/tokenattributes/CharTermAttribute.java,lucene/src/java/org/apache/lucene/util/Attribute.java,,Attribute,file,type,Import,1,FALSE,,21644,analysis,util
475,879,lucene/src/java/org/apache/lucene/analysis/tokenattributes/CharTermAttribute.java,lucene/src/java/org/apache/lucene/util/Attribute.java,CharTermAttribute,Attribute,type,type,Extend,1,TRUE,9942,21644,analysis,util
824,550,lucene/src/java/org/apache/lucene/search/payloads/PayloadNearQuery.java,lucene/src/java/org/apache/lucene/index/IndexReader.java,,IndexReader,file,type,Import,1,FALSE,,12003,search,index
