Source_ID,Target_ID,Source_File,Target_File,Source_Member,Target_Member,Source_Member_Type,Target_Member_Type,Dependency_Type,Dependency_Count,Is_Member_Level,Source_Member_ID,Target_Member_ID,Source_Module,Target_Module
165,135,src/com/eteks/sweethome3d/viewcontroller/WallController.java,src/com/eteks/sweethome3d/viewcontroller/ContentManager.java,WallController,ContentManager,function,type,Use,1.0,True,9880.0,7607,sweetHome3DViewController,sweetHome3DViewController
165,135,src/com/eteks/sweethome3d/viewcontroller/WallController.java,src/com/eteks/sweethome3d/viewcontroller/ContentManager.java,WallController,ContentManager,function,type,Parameter,1.0,True,9880.0,7607,sweetHome3DViewController,sweetHome3DViewController
165,135,src/com/eteks/sweethome3d/viewcontroller/WallController.java,src/com/eteks/sweethome3d/viewcontroller/ContentManager.java,WallController,ContentManager,type,type,Contain,1.0,True,9935.0,7607,sweetHome3DViewController,sweetHome3DViewController
154,44,src/com/eteks/sweethome3d/viewcontroller/PlanView.java,src/com/eteks/sweethome3d/model/DimensionLine.java,,DimensionLine,file,type,Import,1.0,False,,2053,sweetHome3DViewController,sweetHome3DModel
165,136,src/com/eteks/sweethome3d/viewcontroller/WallController.java,src/com/eteks/sweethome3d/viewcontroller/Controller.java,WallController,Controller,type,type,Implement,1.0,True,9935.0,7621,sweetHome3DViewController,sweetHome3DViewController
165,137,src/com/eteks/sweethome3d/viewcontroller/WallController.java,src/com/eteks/sweethome3d/viewcontroller/DialogView.java,displayView,displayView,function,function,Call,1.0,True,9883.0,7622,sweetHome3DViewController,sweetHome3DViewController
165,137,src/com/eteks/sweethome3d/viewcontroller/WallController.java,src/com/eteks/sweethome3d/viewcontroller/DialogView.java,getView,DialogView,function,type,Return,1.0,True,9902.0,7623,sweetHome3DViewController,sweetHome3DViewController
165,137,src/com/eteks/sweethome3d/viewcontroller/WallController.java,src/com/eteks/sweethome3d/viewcontroller/DialogView.java,getView,DialogView,function,type,Use,1.0,True,9902.0,7623,sweetHome3DViewController,sweetHome3DViewController
165,137,src/com/eteks/sweethome3d/viewcontroller/WallController.java,src/com/eteks/sweethome3d/viewcontroller/DialogView.java,WallController,DialogView,type,type,Contain,1.0,True,9935.0,7623,sweetHome3DViewController,sweetHome3DViewController
50,69,src/com/eteks/sweethome3d/model/HomeDoorOrWindow.java,src/com/eteks/sweethome3d/model/Sash.java,getSashes,Sash,function,type,Return,1.0,True,2314.0,3062,sweetHome3DModel,sweetHome3DModel
50,69,src/com/eteks/sweethome3d/model/HomeDoorOrWindow.java,src/com/eteks/sweethome3d/model/Sash.java,HomeDoorOrWindow,Sash,function,type,Use,1.0,True,2312.0,3062,sweetHome3DModel,sweetHome3DModel
50,69,src/com/eteks/sweethome3d/model/HomeDoorOrWindow.java,src/com/eteks/sweethome3d/model/Sash.java,HomeDoorOrWindow,Sash,type,type,Contain,1.0,True,2323.0,3062,sweetHome3DModel,sweetHome3DModel
113,70,src/com/eteks/sweethome3d/swing/PlanTransferHandler.java,src/com/eteks/sweethome3d/model/Selectable.java,,Selectable,file,type,Import,1.0,False,,3072,sweetHome3DSwing,sweetHome3DModel
113,70,src/com/eteks/sweethome3d/swing/PlanTransferHandler.java,src/com/eteks/sweethome3d/model/Selectable.java,copiedItems,Selectable,var,type,Use,2.0,True,6468.0,3072,sweetHome3DSwing,sweetHome3DModel
113,70,src/com/eteks/sweethome3d/swing/PlanTransferHandler.java,src/com/eteks/sweethome3d/model/Selectable.java,transferedItems,Selectable,var,type,Use,2.0,True,6483.0,3072,sweetHome3DSwing,sweetHome3DModel
113,70,src/com/eteks/sweethome3d/swing/PlanTransferHandler.java,src/com/eteks/sweethome3d/model/Selectable.java,copiedItems,Selectable,var,type,Parameter,2.0,True,6468.0,3072,sweetHome3DSwing,sweetHome3DModel
113,70,src/com/eteks/sweethome3d/swing/PlanTransferHandler.java,src/com/eteks/sweethome3d/model/Selectable.java,transferedItems,Selectable,var,type,Parameter,2.0,True,6483.0,3072,sweetHome3DSwing,sweetHome3DModel
5,6,src/com/eteks/sweethome3d/applet/AppletApplication.java,src/com/eteks/sweethome3d/applet/AppletContentManager.java,getContentManager,AppletContentManager,function,type,Call,1.0,True,229.0,345,sweetHome3DApplet,sweetHome3DApplet
5,6,src/com/eteks/sweethome3d/applet/AppletApplication.java,src/com/eteks/sweethome3d/applet/AppletContentManager.java,getContentManager,AppletContentManager,function,type,Use,1.0,True,229.0,345,sweetHome3DApplet,sweetHome3DApplet
