Source_ID,Target_ID,Source_File,Target_File,Source_Member,Target_Member,Source_Member_Type,Target_Member_Type,Dependency_Type,Dependency_Count,Is_Member_Level,Source_Member_ID,Target_Member_ID,Source_Modules,Target_Modules,Source_Module,Target_Module
58,139,src/main/java/teammates/common/datatransfer/TeamEvalResult.java,src/main/java/teammates/common/util/StringHelper.java,toString,getIndent,function,function,Call,1.0,True,1506,4785,['common.dataTransfer'],['common.util'],common.dataTransfer,common.util
58,139,src/main/java/teammates/common/datatransfer/TeamEvalResult.java,src/main/java/teammates/common/util/StringHelper.java,,StringHelper,file,type,Import,1.0,False,,4811,['common.dataTransfer'],['common.util'],common.dataTransfer,common.util
58,139,src/main/java/teammates/common/datatransfer/TeamEvalResult.java,src/main/java/teammates/common/util/StringHelper.java,toString,StringHelper,function,type,Use,1.0,True,1506,4811,['common.dataTransfer'],['common.util'],common.dataTransfer,common.util
553,751,src/test/java/teammates/test/cases/action/InstructorFeedbackPreviewAsInstructorActionTest.java,src/test/java/teammates/test/driver/GaeSimulation.java,testExecuteAndPostProcess,loginAsInstructor,function,function,Call,5.0,True,15318,20177,['testDriver'],['testDriver'],testDriver,testDriver
553,751,src/test/java/teammates/test/cases/action/InstructorFeedbackPreviewAsInstructorActionTest.java,src/test/java/teammates/test/driver/GaeSimulation.java,getAction,getActionObject,function,function,Call,5.0,True,15315,20173,['testDriver'],['testDriver'],testDriver,testDriver
605,39,src/test/java/teammates/test/cases/browsertests/AdminAccountDetailsPageUiTest.java,src/main/java/teammates/common/datatransfer/DataBundle.java,prepareTestData,DataBundle,function,type,Use,1.0,True,16441,937,['testDriver'],['common.dataTransfer'],testDriver,common.dataTransfer
11,173,src/client/java/teammates/client/scripts/DataMigrationForSearchableInstructors.java,src/main/java/teammates/logic/core/InstructorsLogic.java,DataMigrationForSearchableInstructors,inst,type,function,Call,3.0,True,324,6862,['client.scripts'],['logic.core'],client.scripts,logic.core
11,173,src/client/java/teammates/client/scripts/DataMigrationForSearchableInstructors.java,src/main/java/teammates/logic/core/InstructorsLogic.java,getAllInstructors,getAllInstructors,function,function,Call,3.0,True,321,6852,['client.scripts'],['logic.core'],client.scripts,logic.core
11,173,src/client/java/teammates/client/scripts/DataMigrationForSearchableInstructors.java,src/main/java/teammates/logic/core/InstructorsLogic.java,updateDocumentForInstructor,putDocument,function,function,Call,3.0,True,323,6866,['client.scripts'],['logic.core'],client.scripts,logic.core
11,173,src/client/java/teammates/client/scripts/DataMigrationForSearchableInstructors.java,src/main/java/teammates/logic/core/InstructorsLogic.java,,InstructorsLogic,file,type,Import,1.0,False,,6875,['client.scripts'],['logic.core'],client.scripts,logic.core
11,173,src/client/java/teammates/client/scripts/DataMigrationForSearchableInstructors.java,src/main/java/teammates/logic/core/InstructorsLogic.java,DataMigrationForSearchableInstructors,InstructorsLogic,type,type,Use,1.0,True,324,6875,['client.scripts'],['logic.core'],client.scripts,logic.core
11,173,src/client/java/teammates/client/scripts/DataMigrationForSearchableInstructors.java,src/main/java/teammates/logic/core/InstructorsLogic.java,DataMigrationForSearchableInstructors,InstructorsLogic,type,type,Contain,1.0,True,324,6875,['client.scripts'],['logic.core'],client.scripts,logic.core
583,39,src/test/java/teammates/test/cases/action/StudentFeedbackSubmissionEditPageActionTest.java,src/main/java/teammates/common/datatransfer/DataBundle.java,prepareTestData,DataBundle,function,type,Use,1.0,True,16045,937,['testDriver'],['common.dataTransfer'],testDriver,common.dataTransfer
697,502,src/test/java/teammates/test/cases/pagedata/InstructorCourseStudentDetailsEditPageDataTest.java,src/test/java/teammates/test/cases/BaseTestCase.java,allTests,______TS,function,function,Call,10.0,True,18874,14063,['testDriver'],['testDriver'],testDriver,testDriver
697,502,src/test/java/teammates/test/cases/pagedata/InstructorCourseStudentDetailsEditPageDataTest.java,src/test/java/teammates/test/cases/BaseTestCase.java,allTests,assertNull,function,function,Call,10.0,True,18874,14067,['testDriver'],['testDriver'],testDriver,testDriver
697,502,src/test/java/teammates/test/cases/pagedata/InstructorCourseStudentDetailsEditPageDataTest.java,src/test/java/teammates/test/cases/BaseTestCase.java,allTests,assertNotNull,function,function,Call,10.0,True,18874,14066,['testDriver'],['testDriver'],testDriver,testDriver
697,502,src/test/java/teammates/test/cases/pagedata/InstructorCourseStudentDetailsEditPageDataTest.java,src/test/java/teammates/test/cases/BaseTestCase.java,allTests,assertEquals,function,function,Call,10.0,True,18874,14064,['testDriver'],['testDriver'],testDriver,testDriver
697,502,src/test/java/teammates/test/cases/pagedata/InstructorCourseStudentDetailsEditPageDataTest.java,src/test/java/teammates/test/cases/BaseTestCase.java,,BaseTestCase,file,type,Import,1.0,False,,14081,['testDriver'],['testDriver'],testDriver,testDriver
